,match_probability,source_dataset_l,source_dataset_r,unique_id_l,unique_id_r,firstname_l,firstname_r,lastname_l,lastname_r,petname_l,petname_r,dob_l,dob_r,sex_l,sex_r,match_key
2930,100.0,facility_df,house_df,1066,703,Magezi,Magezi,Basoga,Basoga,Kefa,Kefa,1975-11-07,1975-11-07,1,1,0
1812,100.0,facility_df,house_df,726,3503,Magidu,Magidu,Orute,Orute,Namaganda,Najjemba,1953-02-01,1953-01-25,1,1,0
2994,100.0,facility_df,house_df,957,1232,Magola,Magola,Shakin,Shakin,Kyemba,Kyemba,1987-08-31,1987-08-31,1,1,0
1698,100.0,facility_df,house_df,280,1232,Magola,Magola,Shakin,Shakin,Ssenyonjo,Kyemba,1987-08-18,1987-08-31,1,1,0
1121,100.0,facility_df,house_df,50,1841,Magoola,Magoola,Muzafaru,Muzafaru,Kanyike,Lwanga,2017-05-31,2017-05-24,1,1,0
1424,100.0,facility_df,house_df,1181,568,Magoola,Magoola,Banuli,Banuli,Amanya,Ebitu,2000-04-02,2000-04-15,1,1,0
107,98.55,facility_df,house_df,50,2301,Magoola,Magoola,Muzafaru,Sitati,Kanyike,Mahoro,2017-05-31,2017-04-25,1,1,0
2798,100.0,facility_df,house_df,1459,2501,Magoola,Magoola,Christopher,Christopher,Isanga,Isanga,1998-07-12,1998-07-12,1,1,0
1200,100.0,facility_df,house_df,1333,682,Magumba,Magumba,Musazi,Musazi,Baguma,Esibwe,2023-01-17,2023-01-30,1,1,0
2782,100.0,facility_df,house_df,2870,1747,Magumba,Magumba,Hussein,Hussein,Babirye,Babirye,1970-04-24,1970-04-24,1,1,0
2299,100.0,facility_df,house_df,182,315,Magumba,Magumba,Samuel,Samuel,Munyagwa,Munyagwa,1965-05-26,1965-05-19,1,1,0
2848,100.0,facility_df,house_df,333,28,Magumba,Magumba,Iduma,Iduma,Muliika,Muliika,2024-09-23,2024-09-23,1,1,0
2273,100.0,facility_df,house_df,1463,1443,Magumba,Magumba,Bateganya,Bateganya,Kalyango,Kalyango,2015-07-22,2015-08-11,1,1,0
2778,100.0,facility_df,house_df,2244,3113,Mahadi,Mahadi,Tibita,Tibita,Emuron,Emuron,2011-09-08,2011-09-08,1,1,0
2745,100.0,facility_df,house_df,836,3309,Maido,Maido,Namutamba,Namutamba,Kikomeko,Kikomeko,1945-10-24,1945-10-24,1,1,0
2700,100.0,facility_df,house_df,1082,4018,Maido,Maido,Akiramu,Akiramu,Mwesigwa,Mwesigwa,2025-01-28,2025-01-28,1,1,0
1041,100.0,facility_df,house_df,931,3309,Maido,Maido,Namutamba,Namutamba,Malaika,Kikomeko,1945-10-11,1945-10-24,1,1,0
840,100.0,facility_df,house_df,2036,3316,Maido,Maido,Mutale,Mutale,Miremba,Jjingo,1986-12-17,1987-01-06,1,1,0
1825,100.0,facility_df,house_df,394,3151,Maimuna,Maimuna,Nakayega,Nakayega,Biyago,,1961-07-31,1961-08-20,2,2,0
970,100.0,facility_df,house_df,2247,2932,Maliki,Maliki,Mukisa,Mukisa,Agwara,Apolo,1936-02-20,1936-02-13,1,1,0
1635,100.0,facility_df,house_df,2898,1202,Maliki,Maliki,Basule,Basule,Nsolo,Ibingira,1940-06-16,1940-05-27,1,1,0
2881,100.0,facility_df,house_df,1409,959,Malilo,Malilo,Mwase,Mwase,Mayanja,Mayanja,1945-04-03,1945-04-03,1,1,0
1427,100.0,facility_df,house_df,1606,959,Malilo,Malilo,Mwase,Mwase,Nakalanzi,Mayanja,1945-03-14,1945-04-03,1,1,0
327,100.0,facility_df,house_df,176,311,Margret,Margret,Nabirye,Nabirye,Sira,Sira,2024-10-02,2023-07-23,2,2,0
1131,100.0,facility_df,house_df,1535,2606,Margret,Margret,Shamira,Shamira,Bino,,1944-08-05,1944-08-18,2,2,0
1132,100.0,facility_df,house_df,1093,2606,Margret,Margret,Shamira,Shamira,Bino,,1944-08-05,1944-08-18,2,2,0
1720,100.0,facility_df,house_df,346,3325,Margret,Margret,Bangi,Bangi,Nabbosa,,1944-05-27,1944-04-30,2,2,0
2119,100.0,facility_df,house_df,119,3325,Margret,Margret,Bangi,Bangi,,,1944-04-30,1944-04-30,2,2,0
2812,100.0,facility_df,house_df,634,329,Margret,Margret,Nansamba,Nansamba,Kirabo,Kirabo,1930-03-07,1930-03-07,2,2,0
410,100.0,facility_df,house_df,272,3612,Mariam,Mariam,Sulaina,Sulaina,Achola,Vara,1944-06-09,1944-05-13,2,2,0
588,100.0,facility_df,house_df,283,829,Mariam,Mariam,Nakadama,Nakadama,Jjaja,,2006-07-31,2006-08-13,2,2,0
1168,100.0,facility_df,house_df,2243,798,Mariam,Mariam,Byangira,Byangira,Echodu,,1996-11-14,1996-11-07,2,2,0
2040,100.0,facility_df,house_df,2062,2409,Mariam,Mariam,Shifula,Shifula,Sama,Sama,1984-07-08,1984-07-28,2,2,0
282,100.0,facility_df,house_df,255,3944,Mariam,Mariam,Mutesi,Mutesi,Kasozi,Yira,1985-09-13,1985-09-26,2,2,0
627,100.0,facility_df,house_df,890,3140,Mariam,Mariam,Afuswa,Afuswa,Beti,Vara,1999-07-24,1999-08-13,2,2,0
824,100.0,facility_df,house_df,998,1222,Mariam,Mariam,Nabiwemba,Nabiwemba,Shadrack,Dara,2002-01-14,2002-01-27,2,2,0
281,100.0,facility_df,house_df,1842,3944,Mariam,Mariam,Mutesi,Mutesi,Kasozi,Yira,1985-09-13,1985-09-26,2,2,0
247,99.99,facility_df,house_df,272,1327,Mariam,Mariam,Sulaina,,Achola,Pira,1944-06-09,1944-06-02,2,2,0
1606,100.0,facility_df,house_df,2576,3862,Mariam,Mariam,Nkwanga,Nkwanga,,,2018-09-16,2018-09-16,2,2,0
2000,100.0,facility_df,house_df,2001,356,Mariam,Mariam,Shamira,Shamira,Dina,Dina,1975-09-07,1975-09-20,2,2,0
401,100.0,facility_df,house_df,264,3141,Mariam,Mariam,Nakidodo,Nakidodo,Beti,Bria,1964-01-31,1964-02-20,2,2,0
249,99.99,facility_df,house_df,2744,1327,Mariam,Mariam,Sulaina,,Vara,Pira,1944-05-13,1944-06-02,2,2,0
134,99.07,facility_df,house_df,1643,4113,Mariam,Mariam,Babirye,Babirye,Akira,,2013-09-02,1986-04-03,2,2,0
1167,100.0,facility_df,house_df,2259,3576,Mariam,Mariam,Akiki,Akiki,Nkumba,,2017-11-11,2017-10-22,2,2,0
597,100.0,facility_df,house_df,850,3777,Mariam,Mariam,Kyakuwaire,Kyakuwaire,Babirye,,2004-06-22,2004-06-15,2,2,0
1833,100.0,facility_df,house_df,1675,2014,Mariam,Mariam,Irene,Irene,,,1979-04-23,1979-04-23,2,2,0
2192,100.0,facility_df,house_df,1643,2767,Mariam,Mariam,Babirye,Babirye,Akira,Akira,2013-09-02,2013-09-02,2,2,0
55,97.04,facility_df,house_df,1754,1689,Mariam,Mariam,Feima,Nakaziba,,Leela,2013-07-02,2013-06-28,2,2,0
576,100.0,facility_df,house_df,1173,1612,Mariam,Mariam,Shifa,Shifa,Arinaitwe,Danda,2007-05-13,2007-05-26,2,2,0
375,100.0,facility_df,house_df,2720,4113,Mariam,Mariam,Babirye,Babirye,Nakayiwa,,1986-03-14,1986-04-03,2,2,0
393,100.0,facility_df,house_df,404,992,Mariam,Mariam,Latifa,Latifa,Nakato,Amani,1962-07-06,1962-07-26,2,2,0
478,100.0,facility_df,house_df,773,713,Mariam,Mariam,Nakato,Nakato,Bangi,,1966-11-01,1966-11-21,2,2,0
2293,100.0,facility_df,house_df,2744,3612,Mariam,Mariam,Sulaina,Sulaina,Vara,Vara,1944-05-13,1944-05-13,2,2,0
1169,100.0,facility_df,house_df,1034,798,Mariam,Mariam,Byangira,Byangira,Echodu,,1996-11-14,1996-11-07,2,2,0
1970,100.0,facility_df,house_df,1754,2861,Mariam,Mariam,Feima,Feima,,,2013-07-02,2013-07-02,2,2,0
1325,100.0,facility_df,house_df,1044,1670,Mariam,Mariam,Sonia,Sonia,Ayiko,,1940-07-06,1940-07-19,2,2,0
2701,100.0,facility_df,house_df,1052,3794,Mariam,Mariam,Namakiika,Namakiika,Tasha,Tasha,1931-05-12,1931-05-12,2,2,0
385,100.0,facility_df,house_df,1645,3820,Mariam,Mariam,Madina,Madina,Bari,Quila,1973-01-05,1973-01-18,2,2,0
570,100.0,facility_df,house_df,2846,3862,Mariam,Mariam,Nkwanga,Nkwanga,Bukele,,2018-09-03,2018-09-16,2,2,0
1663,100.0,facility_df,house_df,797,713,Mariam,Mariam,Nakato,Nakato,,,1966-11-21,1966-11-21,2,2,0
952,100.0,facility_df,house_df,1992,1191,Mariam,Mariam,Zikula,Zikula,Nsereko,,1999-01-19,1999-02-01,2,2,0
50,96.63,facility_df,house_df,2720,2767,Mariam,Mariam,Babirye,Babirye,Nakayiwa,Akira,1986-03-14,2013-09-02,2,2,0
56,97.04,facility_df,house_df,1754,3382,Mariam,Mariam,Feima,Bagume,,Adima,2013-07-02,2013-06-26,2,2,0
1611,100.0,facility_df,house_df,1474,701,Marion,Marion,Jamira,Jamira,Balamu,Ema,1963-11-02,1963-11-15,2,2,0
1921,100.0,facility_df,house_df,2238,2795,Marriam,Marriam,Vivian,Vivian,,,1975-04-13,1975-04-26,2,2,0
1623,100.0,facility_df,house_df,1772,3600,Marvin,Marvin,Ibira,Ibira,Nsibambi,Mwiru,2002-09-14,2002-09-27,1,1,0
2652,100.0,facility_df,house_df,1418,3355,Mary,Mary,Nantambi,Nantambi,Azara,Azara,1988-06-09,1988-06-09,2,2,0
1820,100.0,facility_df,house_df,2801,216,Mary,Mary,Sofua,Sofua,,,1953-06-10,1953-06-23,2,2,0
980,100.0,facility_df,house_df,80,3355,Mary,Mary,Nantambi,Nantambi,Nakalanzi,Azara,1988-05-20,1988-06-09,2,2,0
718,100.0,facility_df,house_df,966,966,Mary,Mary,Shamimu,Shamimu,Nakalanzi,Landa,1986-11-25,1986-12-08,2,2,0
2207,100.0,facility_df,house_df,2228,808,Mary,Mary,Nabirye,Nabirye,Sira,Sira,1982-02-15,1982-02-15,2,2,0
1287,100.0,facility_df,house_df,2423,1860,Mashihuda,Mashihuda,Wotali,Wotali,Kibibi,Ora,2018-08-27,2018-09-16,2,2,0
2423,100.0,facility_df,house_df,990,2811,Masitula,Masitula,Tulyanabo,Tulyanabo,Uma,Uma,1965-03-04,1965-02-12,2,2,0
2783,100.0,facility_df,house_df,1318,138,Masitula,Masitula,Hairati,Hairati,Hama,Hama,1981-04-06,1981-04-06,2,2,0
2473,100.0,facility_df,house_df,1551,1253,Masitula,Masitula,Nabirye,Nabirye,Giza,Giza,1990-05-17,1990-05-17,2,2,0
1862,100.0,facility_df,house_df,1628,887,Materida,Materida,Kyebalyenda,Kyebalyenda,Kiwanuka,Gia,1969-10-12,1969-11-14,2,2,0
2721,100.0,facility_df,house_df,1395,1364,Mathias,Mathias,Mwesigwa,Mwesigwa,Mukasa,Mukasa,1999-06-01,1999-06-01,1,1,0
2751,100.0,facility_df,house_df,2324,119,Mathias,Mathias,Taitankoko,Taitankoko,Kamuhanda,Kamuhanda,1931-07-23,1931-07-23,1,1,0
2435,100.0,facility_df,house_df,1516,1465,Mathias,Mathias,Sinani,Sinani,Khaoya,Khaoya,1983-03-22,1983-04-11,1,1,0
2779,100.0,facility_df,house_df,540,804,Mathias,Mathias,Mulondo,Mulondo,Barasa,Barasa,2012-08-02,2012-08-02,1,1,0
1212,100.0,facility_df,house_df,2595,119,Mathias,Mathias,Taitankoko,Taitankoko,Wamala,Kamuhanda,1931-07-10,1931-07-23,1,1,0
2942,100.0,facility_df,house_df,2067,1159,Matuba,Matuba,Musasizi,Musasizi,Labeja,Labeja,2001-05-11,2001-05-11,1,1,0
649,100.0,facility_df,house_df,783,7,Mawazi,Mawazi,Musa,Musa,Nkima,Mugasha,1975-11-07,1975-11-27,1,1,0
1166,100.0,facility_df,house_df,1847,3410,Mawazi,Mawazi,Byakika,Byakika,Nakato,Elangat,1936-11-26,1936-12-09,1,1,0
1104,100.0,facility_df,house_df,2124,3287,Mawazi,Mawazi,Akiramu,Akiramu,Kiwanuka,Ijaga,1964-11-18,1964-12-08,1,1,0
2875,100.0,facility_df,house_df,1545,3410,Mawazi,Mawazi,Byakika,Byakika,Elangat,Elangat,1936-12-09,1936-12-09,1,1,0
1669,100.0,facility_df,house_df,601,287,Mayi,Mayi,Namutamba,Namutamba,,,1936-01-23,1936-02-05,2,2,0
1540,100.0,facility_df,house_df,1579,3381,Mayimuna,Mayimuna,Naiboka,Naiboka,Nakate,,1966-06-06,1966-06-26,2,2,0
1538,100.0,facility_df,house_df,2352,3381,Mayimuna,Mayimuna,Naiboka,Naiboka,Nakate,,1966-06-06,1966-06-26,2,2,0
1443,100.0,facility_df,house_df,2266,1493,Mbabazi,Mbabazi,Mwajuma,Mwajuma,,,1957-09-13,1957-10-03,2,2,0
2011,100.0,facility_df,house_df,941,1493,Mbabazi,Mbabazi,Mwajuma,Mwajuma,,,1957-10-03,1957-10-03,2,2,0
2591,100.0,facility_df,house_df,2786,2722,Mbabazi,Mbabazi,Isiko,Isiko,Masinde,Masinde,2024-08-05,2024-08-05,1,1,0
2189,100.0,facility_df,house_df,2341,2722,Mbabazi,Mbabazi,Isiko,Isiko,Masinde,Masinde,2024-07-23,2024-08-05,1,1,0
2190,100.0,facility_df,house_df,2256,2722,Mbabazi,Mbabazi,Isiko,Isiko,Masinde,Masinde,2024-07-23,2024-08-05,1,1,0
1257,100.0,facility_df,house_df,1503,188,Mbeiza,Mbeiza,Kirabira,Kirabira,Nakato,Ziba,1995-08-20,1995-09-02,2,2,0
2893,100.0,facility_df,house_df,2589,430,Mbwali,Mbwali,Babone,Babone,Gani,Gani,1956-11-29,1956-11-29,2,2,0
2437,100.0,facility_df,house_df,2009,430,Mbwali,Mbwali,Babone,Babone,Gani,Gani,1956-11-16,1956-11-29,2,2,0
1765,100.0,facility_df,house_df,713,1640,Mebra,Mebra,Akachilizi,Akachilizi,Atito,Vira,1993-08-17,1993-08-30,2,2,0
1575,100.0,facility_df,house_df,1443,48,Medi,Medi,Tibita,Tibita,Jjaja,Balaba,1991-05-19,1991-06-08,1,1,0
2995,100.0,facility_df,house_df,2764,2621,Menya,Menya,Aziharu,Aziharu,Mukembo,Mukembo,1955-05-26,1955-05-26,1,1,0
2873,100.0,facility_df,house_df,2622,2292,Mere,Mere,Mwebaze,Mwebaze,Atoo,Atoo,1930-06-07,1930-05-31,1,1,0
2644,100.0,facility_df,house_df,2532,3233,Midina,Midina,Shamimu,Shamimu,Zara,Zara,1984-04-01,1984-04-01,2,2,0
721,100.0,facility_df,house_df,1520,3233,Midina,Midina,Shamimu,Shamimu,Kafeero,Zara,1984-04-08,1984-04-01,2,2,0
1978,100.0,facility_df,house_df,2701,2735,Minina,Minina,Mutesi,Mutesi,Dara,Dara,1974-10-12,1974-10-25,2,2,0
2289,100.0,facility_df,house_df,758,2735,Minina,Minina,Mutesi,Mutesi,Dara,Dara,1974-10-25,1974-10-25,2,2,0
2021,100.0,facility_df,house_df,2623,2283,Minina,Minina,Mercy,Mercy,,,1934-02-27,1934-02-27,2,2,0
1902,100.0,facility_df,house_df,730,4042,Minsa,Minsa,Naigaga,Naigaga,,,2002-05-12,2002-05-12,2,2,0
1914,100.0,facility_df,house_df,1823,341,Mirabu,Mirabu,,,Danda,Danda,1937-12-20,1937-12-20,2,2,0
848,100.0,facility_df,house_df,2197,341,Mirabu,Mirabu,,,Danda,Danda,1937-12-27,1937-12-20,2,2,0
69,97.42,facility_df,house_df,2197,2500,Mirabu,Mirabu,,Namususwa,Danda,,1937-12-27,1931-03-04,2,2,0
70,97.42,facility_df,house_df,1823,2500,Mirabu,Mirabu,,Namususwa,Danda,,1937-12-20,1931-03-04,2,2,0
2218,100.0,facility_df,house_df,842,1392,Mirabu,Mirabu,Joyce,Joyce,Nyala,Nyala,2001-11-02,2001-11-22,2,2,0
2855,100.0,facility_df,house_df,1826,454,Mirembe,Mirembe,Shafiga,Shafiga,Rira,Rira,2006-11-25,2006-11-25,2,2,0
1322,100.0,facility_df,house_df,678,1861,Mirembe,Mirembe,Nasabo,Nasabo,Kibuga,Ura,1991-10-28,1991-11-10,2,2,0
1323,100.0,facility_df,house_df,588,1184,Mirembe,Mirembe,Napendi,Napendi,Nkwatako,Ula,1935-11-28,1935-12-11,2,2,0
698,100.0,facility_df,house_df,2844,2129,Mirembe,Mirembe,Halima,Halima,Namuddu,Chuma,1936-09-12,1936-09-25,2,2,0
1318,100.0,facility_df,house_df,2337,1184,Mirembe,Mirembe,Napendi,Napendi,Nkwatako,Ula,1935-11-28,1935-12-11,2,2,0
2105,100.0,facility_df,house_df,2166,2794,Miria,Miria,Aisha,Aisha,Ema,Ema,1953-02-18,1953-03-03,2,2,0
1529,100.0,facility_df,house_df,159,106,Miria,Miria,Praise,Praise,Nambooze,,2025-10-21,2025-11-10,2,2,0
623,100.0,facility_df,house_df,641,715,Mirisa,Mirisa,Nangobi,Nangobi,Banyanga,Xama,1959-07-20,1959-07-13,2,2,0
1194,100.0,facility_df,house_df,2345,1104,Monic,Monic,Naiwumbwe,Naiwumbwe,Namaganda,,1988-12-27,1989-01-09,2,2,0
578,100.0,facility_df,house_df,2737,1554,Monic,Monic,,,Alinda,,1984-12-27,1984-12-27,2,2,0
108,98.55,facility_df,house_df,2737,1104,Monic,Monic,,Naiwumbwe,Alinda,,1984-12-27,1989-01-09,2,2,0
109,98.55,facility_df,house_df,2737,2351,Monic,Monic,,Naikoba,Alinda,,1984-12-27,1979-09-12,2,2,0
276,100.0,facility_df,house_df,2345,1554,Monic,Monic,Naiwumbwe,,Namaganda,,1988-12-27,1984-12-27,2,2,0
898,100.0,facility_df,house_df,2303,2085,Monica,Monica,Mutale,Mutale,Nalukenge,Emani,2007-06-18,2007-07-01,2,2,0
2159,100.0,facility_df,house_df,1354,2403,Moreen,Moreen,Getrude,Getrude,,,1999-12-17,1999-12-17,2,2,0
836,100.0,facility_df,house_df,1037,719,Moreen,Moreen,Patience,Patience,Bari,Gala,2024-10-18,2024-10-11,2,2,0
2985,100.0,facility_df,house_df,518,2029,Morgan,Morgan,Kismabira,Kismabira,Isingoma,Isingoma,1957-06-16,1957-06-16,1,1,0
1662,100.0,facility_df,house_df,1072,93,Moris,Moris,Sirimu,Sirimu,Najjemba,Nakyejwe,1999-03-05,1999-03-25,1,1,0
1180,100.0,facility_df,house_df,2843,57,Moses,Moses,Jackson,Jackson,Kassim,Ikwaput,1939-08-17,1939-08-10,1,1,0
988,100.0,facility_df,house_df,1697,3754,Moses,Moses,Wantati,Wantati,Awiti,Masinde,2024-08-27,2024-09-09,1,1,0
987,100.0,facility_df,house_df,2693,3754,Moses,Moses,Wantati,Wantati,Awiti,Masinde,2024-08-27,2024-09-09,1,1,0
1208,100.0,facility_df,house_df,1638,2588,Moses,Moses,Mugulusi,Mugulusi,Balikuwa,Barasa,1969-11-05,1969-11-18,1,1,0
1207,100.0,facility_df,house_df,2235,2588,Moses,Moses,Mugulusi,Mugulusi,Balikuwa,Barasa,1969-11-05,1969-11-18,1,1,0
2220,100.0,facility_df,house_df,1303,1393,Moses,Moses,Mutaka,Mutaka,Mukisa,Mukisa,1992-08-15,1992-08-08,1,1,0
2866,100.0,facility_df,house_df,257,2588,Moses,Moses,Mugulusi,Mugulusi,Barasa,Barasa,1969-11-18,1969-11-18,1,1,0
1754,100.0,facility_df,house_df,596,2570,Mpaata,Mpaata,Badiru,Badiru,Awule,Lubega,2023-04-05,2023-04-25,1,1,0
2015,100.0,facility_df,house_df,1352,2875,Mpali,Mpuli,Bikaba,Bikaba,Kasibante,Kasibante,1932-01-29,1932-02-11,1,1,1
2977,100.0,facility_df,house_df,2016,2875,Mpuli,Mpuli,Bikaba,Bikaba,Kasibante,Kasibante,1932-02-11,1932-02-11,1,1,0
959,100.0,facility_df,house_df,2708,2934,Mubaraka,Mubaraka,Isabirye,Isabirye,Aima,Kyasanku,1957-01-18,1957-01-31,1,1,0
960,100.0,facility_df,house_df,524,2934,Mubaraka,Mubaraka,Isabirye,Isabirye,Aima,Kyasanku,1957-01-18,1957-01-31,1,1,0
1867,100.0,facility_df,house_df,1744,973,Mubezi,Mubezi,Briton,Briton,Nakalanzi,Uma,2007-04-30,2007-05-13,2,2,0
2925,100.0,facility_df,house_df,328,2509,Mudungu,Mudungu,Ukasha,Ukasha,Edoni,Edoni,1974-05-08,1974-05-08,1,1,0
1756,100.0,facility_df,house_df,2861,2053,Mugala,Mugala,Biryeri,Biryeri,Nalubega,,1941-09-18,1941-10-08,2,2,0
1701,100.0,facility_df,house_df,2762,2757,Mugala,Mugala,Nakasango,Nakasango,,,1964-03-27,1964-04-09,2,2,0
2518,100.0,facility_df,house_df,107,254,Mugaya,Mugaya,Mayanja,Mayanja,Jakisa,Jakisa,1932-02-08,1932-02-28,1,1,0
2464,100.0,facility_df,house_df,2582,2737,Mugoya,Mugoya,Waiswa,Waiswa,Feta,Feta,1975-05-17,1975-05-17,1,1,0
811,100.0,facility_df,house_df,2513,2966,Mugoya,Mugoya,Menya,Menya,Amani,Babirye,1950-08-26,1950-09-08,1,1,0
1221,100.0,facility_df,house_df,993,1845,Mugoya,Mugoya,Kuzaima,Kuzaima,Kassim,Jokkene,1991-07-05,1991-07-18,1,1,0
2651,100.0,facility_df,house_df,1564,86,Mugoya,Mugoya,Bashiri,Bashiri,Male,Male,1982-08-05,1982-08-05,1,1,0
68,97.42,facility_df,house_df,2280,410,Mugoya,Mugoya,Kyaze,Ibrahim,Kasekende,Kulubya,2016-01-03,2016-01-17,1,1,0
2365,100.0,facility_df,house_df,2280,342,Mugoya,Mugoya,Kyaze,Kyaze,Kasekende,Kasekende,2016-01-03,2016-01-23,1,1,0
1359,100.0,facility_df,house_df,2138,639,Mugoya,Mugoya,Luwano,Luwano,Atimango,Kyomuhendo,1953-11-24,1953-12-07,1,1,0
852,100.0,facility_df,house_df,1076,86,Mugoya,Mugoya,Bashiri,Bashiri,Nampijja,Male,1982-07-23,1982-08-05,1,1,0
2918,100.0,facility_df,house_df,88,1845,Mugoya,Mugoya,Kuzaima,Kuzaima,Jokkene,Jokkene,1991-07-18,1991-07-18,1,1,0
2735,100.0,facility_df,house_df,808,1468,Mugwana,Mugwana,Kasim,Kasim,Kaliisa,Kaliisa,2018-10-31,2018-10-24,1,1,0
2660,100.0,facility_df,house_df,755,2240,Muhamed,Muhamed,Iwumbwe,Iwumbwe,Lukwago,Lukwago,1977-12-02,1977-12-02,1,1,0
2858,100.0,facility_df,house_df,1451,3748,Muhamed,Muhamed,Kasani,Kasani,Kaggwa,Kaggwa,1940-07-27,1940-07-27,1,1,0
2166,100.0,facility_df,house_df,802,348,Muhamed,Muhamed,Kaziba,Kaziba,Balaba,Balaba,1952-08-22,1952-09-04,1,1,0
1057,100.0,facility_df,house_df,1200,3350,Muhamed,Muhamed,Mudungu,Mudungu,Najjemba,Nakiwala,2000-07-25,2000-08-07,1,1,0
1475,100.0,facility_df,house_df,1890,890,Muhammed,Muhammed,Tasili,Tasili,Kizito,Muhairwe,1965-07-01,1965-07-21,1,1,0
1478,100.0,facility_df,house_df,1289,890,Muhammed,Muhammed,Tasili,Tasili,Kizito,Muhairwe,1965-07-01,1965-07-21,1,1,0
1864,100.0,facility_df,house_df,2679,1543,Mujalasa,Mujalasa,Maidho,Maidho,Akoni,Kamoga,1970-03-15,1970-03-28,1,1,0
748,100.0,facility_df,house_df,822,3610,Mujibu,Mujibu,Isabirye,Isabirye,Achara,Kanakulya,1980-05-16,1980-05-09,1,1,0
2177,100.0,facility_df,house_df,2673,1328,Mujibu,Mujibu,Tenywa,Tenywa,Masinde,Masinde,1958-07-06,1958-07-19,1,1,0
890,100.0,facility_df,house_df,760,2109,Mukama,Mukama,Ukasha,Ukasha,Namara,Mukwaya,1955-10-10,1955-10-23,1,1,0
799,100.0,facility_df,house_df,1950,2039,Mukama,Mukama,Abdu,Abdu,Nakyobe,Elangat,1997-04-10,1997-04-23,1,1,0
934,100.0,facility_df,house_df,22,2627,Mukama,Mukama,Alamazani,Alamazani,Cheche,Munyagwa,1963-05-20,1963-06-02,1,1,0
2650,100.0,facility_df,house_df,73,2627,Mukama,Mukama,Alamazani,Alamazani,Munyagwa,Munyagwa,1963-06-02,1963-06-02,1,1,0
798,100.0,facility_df,house_df,2766,2039,Mukama,Mukama,Abdu,Abdu,Nakyobe,Elangat,1997-04-10,1997-04-23,1,1,0
969,100.0,facility_df,house_df,2412,2224,Mukisa,Mukisa,Wilson,Wilson,Ssali,Mukembo,1975-10-07,1975-10-20,1,1,0
118,98.67,facility_df,house_df,824,3334,Mukisa,Mukisa,Waigangala,,Beinomugisha,Kanani,2025-04-01,2024-07-28,1,1,0
581,100.0,facility_df,house_df,1855,3856,Mukisa,Mukisa,Christopher,Christopher,Bugembe,Kaoma,2005-10-01,2005-10-21,1,1,0
646,100.0,facility_df,house_df,1796,3544,Mukisa,Mukisa,Charles,Charles,Nansubuga,Bukenya,2010-06-02,2010-05-26,1,1,0
117,98.67,facility_df,house_df,873,3334,Mukisa,Mukisa,Waigangala,,Beinomugisha,Kanani,2025-04-01,2024-07-28,1,1,0
2065,100.0,facility_df,house_df,873,2447,Mukisa,Mukisa,Waigangala,Waigangala,Beinomugisha,Beinomugisha,2025-04-01,2025-04-21,1,1,0
1246,100.0,facility_df,house_df,761,565,Mukisa,Mukisa,Kaliti,Kaliti,Amani,Kyomuhendo,2010-07-24,2010-07-17,1,1,0
2066,100.0,facility_df,house_df,824,2447,Mukisa,Mukisa,Waigangala,Waigangala,Beinomugisha,Beinomugisha,2025-04-01,2025-04-21,1,1,0
47,96.45,facility_df,house_df,1796,565,Mukisa,Mukisa,Charles,Kaliti,Nansubuga,Kyomuhendo,2010-06-02,2010-07-17,1,1,0
2769,100.0,facility_df,house_df,1699,2385,Mukisa,Mukisa,Lugolole,Lugolole,Kabugo,Kabugo,2017-10-07,2017-10-07,1,1,0
580,100.0,facility_df,house_df,2777,3856,Mukisa,Mukisa,Christopher,Christopher,Bugembe,Kaoma,2005-10-01,2005-10-21,1,1,0
176,99.56,facility_df,house_df,1795,2579,Mukose,Mukose,Baguma,Mutono,Mutono,Eriaku,2014-01-26,2014-02-15,1,1,0
1327,100.0,facility_df,house_df,2817,2155,Muksasa,Muksasa,Basoga,Basoga,Nanyonga,Esibwe,1955-11-15,1955-12-05,1,1,0
2794,100.0,facility_df,house_df,2640,1961,Muksasa,Muksasa,Lwabaga,Lwabaga,Kyangwa,Kyangwa,1972-08-21,1972-08-21,1,1,0
2879,100.0,facility_df,house_df,1870,1116,Mukulu,Mukulu,Basaha,Basaha,Mugasha,Mugasha,2009-08-04,2009-08-04,1,1,0
1078,100.0,facility_df,house_df,375,1204,Mulawa,Mulawa,Ivan,Ivan,Ntambi,Kabuye,2007-06-26,2007-06-19,1,1,0
696,100.0,facility_df,house_df,1821,194,Mulawa,Mulawa,Sadati,Sadati,Nalukwago,Najjemba,1980-02-28,1980-02-21,1,1,0
236,99.95,facility_df,house_df,375,3033,Mulawa,Mulawa,Ivan,Ivan,Ntambi,Dhizaala,2007-06-26,1985-03-03,1,1,0
234,99.95,facility_df,house_df,2057,1204,Mulawa,Mulawa,Ivan,Ivan,Dhizaala,Kabuye,1985-03-03,2007-06-19,1,1,0
2803,100.0,facility_df,house_df,2057,3033,Mulawa,Mulawa,Ivan,Ivan,Dhizaala,Dhizaala,1985-03-03,1985-03-03,1,1,0
2664,100.0,facility_df,house_df,2850,194,Mulawa,Mulawa,Sadati,Sadati,Najjemba,Najjemba,1980-02-21,1980-02-21,1,1,0
235,99.95,facility_df,house_df,1283,3033,Mulawa,Mulawa,Ivan,Ivan,Ntambi,Dhizaala,2007-06-26,1985-03-03,1,1,0
